Station Name,Iso Code,Date,Hour,Minute,Air Temperature,Rain
Alex Muranda Livestock Development Centre,NA,10/12/2025,16,0,35.37,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,17,0,34.76,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,18,0,34.76,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,19,0,34.19,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,20,0,32.2,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,21,0,28.7,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,22,0,25.45,0
Alex Muranda Livestock Development Centre,NA,10/12/2025,23,0,27.66,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,1,0,25.74,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,2,0,24.95,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,3,0,26.05,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,4,0,24.53,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,5,0,23.38,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,7,0,19.67,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,8,0,20.06,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,9,0,24.49,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,10,0,27.24,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,11,0,29.69,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,12,0,30.94,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,13,0,32.23,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,14,0,33.76,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,15,0,34.21,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,18,0,21.37,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,20,0,22.89,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,21,0,23.6,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,22,0,22.6,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,23,0,22.45,0
Alex Muranda Livestock Development Centre,NA,10/13/2025,24,0,22.55,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,1,0,22.57,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,2,0,22.45,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,3,0,22.04,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,4,0,21.93,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,5,0,21.39,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,6,0,19.78,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,7,0,19.78,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,8,0,19.8,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,9,0,22.4,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,10,0,26.38,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,11,0,28.43,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,12,0,30.29,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,13,0,30.82,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,14,0,33.23,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,15,0,35.13,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,17,0,33.12,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,18,0,34.28,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,19,0,33.54,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,20,0,30.26,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,21,0,25.41,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,22,0,24.61,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,23,0,22.95,0
Alex Muranda Livestock Development Centre,NA,10/14/2025,24,0,22.77,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,1,0,22.14,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,2,0,21.08,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,3,0,20.19,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,4,0,20.59,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,5,0,20.92,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,6,0,21.56,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,7,0,22.02,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,8,0,21.41,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,9,0,22.07,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,10,0,28.88,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,11,0,31.85,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,12,0,33.88,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,13,0,35.05,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,14,0,35.05,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,15,0,35.69,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,16,0,35.89,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,17,0,35.41,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,18,0,35.35,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,19,0,34.79,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,20,0,32.55,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,21,0,27.83,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,22,0,24.43,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,23,0,23.4,0
Alex Muranda Livestock Development Centre,NA,10/15/2025,24,0,26.72,0
Alex Muranda Livestock Development Centre,NA,10/16/2025,1,0,26.84,0
