Station Name,Iso Code,Station ID,Date,Hour,Minute,Air Temperature,Rain
Shakawe,BW,68026,12/3/2024,15,30,38.41,0
Shakawe,BW,68026,12/3/2024,15,45,37.65,0
Shakawe,BW,68026,12/3/2024,16,0,38.38,0
Shakawe,BW,68026,12/3/2024,16,15,38.51,0
Shakawe,BW,68026,12/3/2024,16,30,38.89,0
Shakawe,BW,68026,12/3/2024,16,45,38.54,0
Shakawe,BW,68026,12/3/2024,17,0,37.36,0
Shakawe,BW,68026,12/3/2024,17,15,37.44,0
Shakawe,BW,68026,12/3/2024,17,30,36.51,0
Shakawe,BW,68026,12/3/2024,17,45,35.39,0
Shakawe,BW,68026,12/3/2024,18,0,34.63,0
Shakawe,BW,68026,12/3/2024,18,15,35.61,0
Shakawe,BW,68026,12/3/2024,18,30,36.09,0
Shakawe,BW,68026,12/3/2024,18,45,35.94,0
Shakawe,BW,68026,12/3/2024,19,0,34.25,0
Shakawe,BW,68026,12/3/2024,19,15,32.31,0
Shakawe,BW,68026,12/3/2024,19,30,29.95,0
Shakawe,BW,68026,12/3/2024,19,45,28.36,0
Shakawe,BW,68026,12/3/2024,20,0,27.12,0
Shakawe,BW,68026,12/3/2024,20,15,26.34,0
Shakawe,BW,68026,12/3/2024,20,30,25.87,0
Shakawe,BW,68026,12/3/2024,20,45,25.1,0
Shakawe,BW,68026,12/3/2024,21,0,24.4,0
Shakawe,BW,68026,12/3/2024,21,15,23.91,0
Shakawe,BW,68026,12/3/2024,21,30,23.9,0
Shakawe,BW,68026,12/3/2024,21,45,23.41,0
Shakawe,BW,68026,12/3/2024,22,0,22.94,0
Shakawe,BW,68026,12/3/2024,22,15,22.58,0
Shakawe,BW,68026,12/3/2024,22,30,22.39,0
Shakawe,BW,68026,12/3/2024,22,45,21.98,0
Shakawe,BW,68026,12/3/2024,23,0,21.44,0
Shakawe,BW,68026,12/3/2024,23,15,21.29,0
Shakawe,BW,68026,12/3/2024,23,30,21.23,0
Shakawe,BW,68026,12/3/2024,23,45,20.83,0
Shakawe,BW,68026,12/3/2024,24,0,20.53,0
Shakawe,BW,68026,12/4/2024,0,15,20.32,0
Shakawe,BW,68026,12/4/2024,0,30,20.01,0
Shakawe,BW,68026,12/4/2024,0,45,19.82,0
Shakawe,BW,68026,12/4/2024,1,0,19.67,0
Shakawe,BW,68026,12/4/2024,1,15,19.65,0
Shakawe,BW,68026,12/4/2024,1,30,19.15,0
Shakawe,BW,68026,12/4/2024,1,45,18.89,0
Shakawe,BW,68026,12/4/2024,2,0,19.29,0
Shakawe,BW,68026,12/4/2024,2,15,18.48,0
Shakawe,BW,68026,12/4/2024,2,30,18.33,0
Shakawe,BW,68026,12/4/2024,2,45,17.94,0
Shakawe,BW,68026,12/4/2024,3,0,17.87,0
Shakawe,BW,68026,12/4/2024,3,15,18.06,0
Shakawe,BW,68026,12/4/2024,3,30,17.39,0
Shakawe,BW,68026,12/4/2024,3,45,17.02,0
Shakawe,BW,68026,12/4/2024,4,0,16.72,0
Shakawe,BW,68026,12/4/2024,4,15,18.87,0
Shakawe,BW,68026,12/4/2024,4,30,20.08,0
Shakawe,BW,68026,12/4/2024,4,45,20.38,0
Shakawe,BW,68026,12/4/2024,5,0,20.46,0
Shakawe,BW,68026,12/4/2024,5,15,19.56,0
Shakawe,BW,68026,12/4/2024,5,30,19.98,0
Shakawe,BW,68026,12/4/2024,5,45,20.02,0
Shakawe,BW,68026,12/4/2024,6,0,18.64,0
Shakawe,BW,68026,12/4/2024,6,15,17.94,0
Shakawe,BW,68026,12/4/2024,6,30,18.21,0
Shakawe,BW,68026,12/4/2024,6,45,18.68,0
Shakawe,BW,68026,12/4/2024,7,0,20.48,0
Shakawe,BW,68026,12/4/2024,7,15,21.98,0
Shakawe,BW,68026,12/4/2024,7,30,22.84,0
Shakawe,BW,68026,12/4/2024,7,45,23.82,0
Shakawe,BW,68026,12/4/2024,8,0,24.97,0
Shakawe,BW,68026,12/4/2024,8,15,25.83,0
Shakawe,BW,68026,12/4/2024,8,30,27.01,0
Shakawe,BW,68026,12/4/2024,8,45,28.11,0
Shakawe,BW,68026,12/4/2024,9,0,29.08,0
Shakawe,BW,68026,12/4/2024,9,15,30.03,0
Shakawe,BW,68026,12/4/2024,9,30,30.95,0
Shakawe,BW,68026,12/4/2024,9,45,32.11,0
Shakawe,BW,68026,12/4/2024,10,0,32.77,0
Shakawe,BW,68026,12/4/2024,10,15,33.29,0
Shakawe,BW,68026,12/4/2024,10,30,34.08,0
Shakawe,BW,68026,12/4/2024,10,45,34.6,0
Shakawe,BW,68026,12/4/2024,11,0,35.03,0
Shakawe,BW,68026,12/4/2024,11,15,35.39,0
